Full Complaint ID,Complaint Year Number,Month Number,Record Create Date,Complaint Precinct Code,Patrol Borough Name,County,Law Code Category Description,Offense Description,PD Code Description,Bias Motive Description,Offense Category,Arrest Date,Arrest Id
2.02E+14,2021,2,2/3/2021,70,PATROL BORO BKLYN SOUTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-ASIAN,Race/Color,2/10/2021,K33677358
2.02E+14,2021,6,6/11/2021,71,PATROL BORO BKLYN SOUTH,KINGS,FELONY,ROBBERY,"ROBBERY,BEGIN AS SHOPLIFTING",ANTI-ASIAN,Race/Color,6/10/2021,K33691802
2.02E+14,2021,6,6/11/2021,71,PATROL BORO BKLYN SOUTH,KINGS,FELONY,ROBBERY,"ROBBERY,BEGIN AS SHOPLIFTING",ANTI-ASIAN,Race/Color,6/10/2021,K33691805
2.02E+14,2021,12,12/20/2021,71,PATROL BORO BKLYN SOUTH,KINGS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 3 & 2, OF M",ANTI-BLACK,Race/Color,12/20/2021,K33716162
2.02E+14,2021,12,12/20/2021,71,PATROL BORO BKLYN SOUTH,KINGS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 3 & 2, OF M",ANTI-BLACK,Race/Color,12/20/2021,K33716163
2.02E+14,2021,5,5/16/2021,72,PATROL BORO BKLYN SOUTH,KINGS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL,    UNCL 2ND",ANTI-CATHOLIC,Religion/Religious Practice,5/21/2021,K33689292
2.02E+14,2021,9,9/9/2021,72,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,7/29/2022,K34703837
2.02E+14,2021,6,6/18/2021,77,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-ASIAN,Race/Color,6/18/2021,K33692743
2.02E+14,2021,6,6/11/2021,79,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",ANTI-ASIAN,Race/Color,6/11/2021,K33691864
2.02E+14,2021,1,1/4/2021,83,PATROL BORO BKLYN NORTH,KINGS,FELONY,ROBBERY,"ROBBERY,COMMERCIAL UNCLASSIFIED",ANTI-FEMALE,Gender,1/5/2021,K33672671
